,beta_factor,init_cond,magnetisation,m1,m2,m3,susB1,susB2,susB3,m_fp_convergence
0,2.375,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.2206815267531447,0.9884824686597878,0.6404110293772168,-0.9668489177775705,0.020877701655474562,0.9977434957540423,0.0638125242729705,"[0.3591510186401927, 0.3131610104687748, 0.2447268892783109, 0.22426650836934336, 0.22154552673307695, 0.2211138030620786, 0.2209620852891233, 0.22087107662870142, 0.22080893193234152, 0.2207655990662146, 0.2207352852049144, 0.22071406622302828, 0.2206992108281649, 0.22068880965929671, 0.2206815267531447]"
0,2.5625,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.2501665611485403,0.9929924685905529,0.7321324414130884,-0.9746252265580205,0.018193263977756148,0.9974080101105797,0.0696151313515208,"[0.3591510186401927, 0.31847267057433376, 0.2545007058783821, 0.24260054395564698, 0.2445915689235488, 0.24673548526999492, 0.24811220692768285, 0.24894637119548793, 0.24944560527283977, 0.24974305005845332, 0.24991986311053593, 0.2500248303595425, 0.25008709747060337, 0.2501240177899507, 0.25014590320017216, 0.2501588742246725, 0.2501665611485403]"
0,2.75,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.2700430331340943,0.9956590822448285,0.7953076211320317,-0.9808376039745773,0.015595323729636606,0.9972667686295571,0.07222034384388892,"[0.3591510186401927, 0.32323576913068147, 0.26390389854933977, 0.2590353471523108, 0.2637272060527621, 0.26676977310701117, 0.2683816822246388, 0.26920692864979306, 0.2696251300304015, 0.26983614918911264, 0.2699424082038569, 0.26999586049791346, 0.2700227352596219, 0.2700362438864576, 0.2700430331340943]"
0,2.9375,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.2841865987165941,0.9972801641030853,0.840916885415705,-0.9856372533690081,0.013178117453514163,0.9972849081756865,0.07245101203843994,"[0.3591510186401927, 0.3276132097063156, 0.272814223189672, 0.2732434073452021, 0.27899362599128524, 0.28191320862845154, 0.2832102896346274, 0.28377159646819605, 0.2840125469559252, 0.28411566103862324, 0.2841597323812131, 0.2841785585181928, 0.2841865987165941]"
0,3.125,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.29461937672323874,0.9982825402525827,0.8748594866085986,-0.9892838966914651,0.011004559112198923,0.9974168803438197,0.07098215609537717,"[0.3591510186401927, 0.3317134381468852, 0.28110953714541964, 0.28516480640006153, 0.29086718612949575, 0.29322945389237143, 0.2941131364781747, 0.2944370653349498, 0.29455513230190744, 0.2945980849811195, 0.29461370080375143, 0.29461937672323874]"
0,3.3125,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.30250816007020104,0.9989093411766881,0.900643981101292,-0.9920288420673768,0.009099010403394017,0.9976218995533347,0.06832095975083358,"[0.3591510186401927, 0.33560569405988866, 0.2886947426582703, 0.2949356127410423, 0.2999844304408476, 0.3017160615981447, 0.3022634273872538, 0.30243384525724987, 0.30248670652864706, 0.3025030862164578, 0.30250816007020104]"
0,3.5,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.3085861955348986,0.9993044375913132,0.9205373968029247,-0.9940832477895422,0.007461417182478399,0.9978662462995623,0.06486356257291422,"[0.3591510186401927, 0.33933163221380774, 0.2955126948730458, 0.3028057680094088, 0.306963922540132, 0.3081543667272802, 0.30847337561198696, 0.3085579277577123, 0.3085802863666176, 0.3085861955348986]"
0,3.6875,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.31333671910380706,0.9995549519323218,0.936070295195918,-0.9956150898168186,0.00607598405080353,0.9981247304159625,0.06091063084451578,"[0.3591510186401927, 0.34291397117336847, 0.30154483674823246, 0.30906979259594675, 0.31232629104148985, 0.3131090223597138, 0.3132873228423623, 0.31332762294655947, 0.31333671910380706]"
0,3.875,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.3170945184196563,0.9997145203430818,0.9483233200390867,-0.9967542851231996,0.004919190220858258,0.9983791091024563,0.05670058267210694,"[0.3591510186401927, 0.3463628129579687, 0.3068060186010272, 0.31401933914259944, 0.3164773624337126, 0.31697559057769353, 0.3170722650446724, 0.3170909211377038, 0.3170945184196563]"
0,4.0625,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.32008986953332635,0.9998164917946589,0.9580530400099522,-0.9975999232046321,0.003962294355056752,0.9986190897503296,0.05238524419783697,"[0.3591510186401927, 0.3496801887724201, 0.31133671536629187, 0.3179167195608975, 0.3197207688920399, 0.3200302029563992, 0.3200814233684094, 0.32008986953332635]"
