,block optimize,full optimize,H,beta_factor
0,"[[0.5542442990671382, 0.5542442990671382, 0.9100684793974834, 0.9128744576089995, 0.9154094463141227, 0.9176900735554989, 0.9197328254613222, 0.9215540777846908, 0.9231700952342714, 0.9245969961538874, 0.9258506834073617, 0.9269467460140386, 0.9279003395465157, 0.9287260558764456, 0.9294377940064364, 0.9300486432266576, 0.9305707878303751, 0.9310154395789219, 0.9313928006587653, 0.9317120566381768, 0.9319813963641015, 0.9322080540657245, 0.9323983681572114, 0.9325565404116252, 0.9326898580433026, 0.9328012040901166, 0.9328940749968238, 0.9329714455724772, 0.933035837011966, 0.9330893788854733, 0.9331338647377425, 0.9331708013108999, 0.9332014516574498, 0.9332268725678305, 0.9332479468228818, 0.9332654108153562, 0.9332798780829572, 0.9332918592706548, 0.9333017790016922, 0.9333099900915621, 0.9333167854916551, 0.9333224083026015, 0.9333270601531247, 0.9333309081996635, 0.9333340909655163, 0.9333367232060573, 0.9333388999581134, 0.9333406999073962, 0.9333421881865382, 0.9333434186984644, 0.9333444360444989, 0.9333452771236181, 0.9333459724583079, 0.9333465472933855, 0.933347022506289, 0.9333474153610135, 0.9333477401323131, 0.9333480086224465, 0.9333482305887937, 0.933348414097728, 0.9333485658173706, 0.9333486912597375, 0.93334879498104, 0.9333488807473378, 0.9333489516714862, 0.9333490103264155, 0.9333490588387426, 0.933349098966197, 0.9333491321616049, 0.9333491596257908, 0.9333491823513014, 0.933349201158534, 0.933349216725626, 0.9333492296131274, 0.9333492402844151, 0.9333492491225399]]","[[0.5696221788932055, 0.9003218435016475, 0.9201954120025374, 0.9295638725061992, 0.933941689586318, 0.935451141580296, 0.9357253971340035, 0.9357677674747857, 0.9357770298720722, 0.9357790869977007, 0.9357795583140543]]",2822.0947292117226,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9392885798744582, 0.9412587049783454, 0.943041662716378, 0.9446488130838315, 0.9460913708295742, 0.947380440093084, 0.948527027777876, 0.9495420336153106, 0.9504362167645213, 0.9512201410837083, 0.9519041035433209, 0.9524980521993005, 0.9530115013037568, 0.9534534512549107, 0.9538323201626953, 0.9541558920513504, 0.9544312845145677, 0.9546649364044637, 0.9548626142262124, 0.9550294345413508, 0.9551698989192139, 0.9552879377596992, 0.955386959512736, 0.9554699022879573, 0.9555392854436464, 0.9555972593601989, 0.9556456521699247, 0.9556860126948992, 0.9557196492244269, 0.9557476640469289, 0.9557709838493171, 0.9557903862257504, 0.955806522612723, 0.9558199380029748, 0.9558310877983913, 0.9558403521515179, 0.9558480481232154, 0.955854439955933, 0.9558597477310686, 0.9558641546479429, 0.9558678131319496, 0.955870849951826, 0.9558733705007598, 0.9558754623737458, 0.9558771983538101, 0.9558786389026492, 0.9558798342363806, 0.955880826054393, 0.9558816489785056, 0.9558823317504084, 0.9558828982275566, 0.9558833682111636, 0.9558837581343924, 0.9558840816341794, 0.9558843500262761, 0.9558845726997954, 0.9558847574448545, 0.9558849107246039, 0.9558850379010738, 0.9558851434226252, 0.9558852309795368, 0.9558853036331446, 0.9558853639229814, 0.9558854139556993, 0.9558854554788374, 0.9558854899420378, 0.9558855185478288, 0.9558855422937431, 0.9558855620072766, 0.9558855783748864, 0.9558855919660239, 0.9558856032530978, 0.9558856126280146]]","[[0.5696221788932055, 0.9316608482099936, 0.9461481079295291, 0.9527683435694242, 0.9559100698597938, 0.9573311315932606, 0.9577522872117936, 0.9578411341741868, 0.9578600247434025, 0.9578628383942297, 0.957863453355076]]",3596.1247207191573,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9629324290199031, 0.9641686971910433, 0.9652891373369255, 0.9663006909992984, 0.9672101967520879, 0.9680244153851455, 0.9687500427128425, 0.9693937085961607, 0.9699619617621469, 0.9704612412851961, 0.9708978369801511, 0.9712778422026802, 0.9716071034072776, 0.9718911710941809, 0.9721352564253859, 0.9723441968913222, 0.9725224331617701, 0.9726739979059559, 0.9728025161464717, 0.9729112157783735, 0.9730029463072274, 0.973080203625853, 0.9731451586939135, 0.973199688218572, 0.9732454057713582, 0.9732836921452068, 0.9733157241071038, 0.973342501007299, 0.9733648689534768, 0.9733835424465084, 0.973399123509316, 0.9734121184304497, 0.9734229522989014, 0.9734319815352106, 0.9734395046335669, 0.9734457713266502, 0.9734509903737811, 0.9734553361572164, 0.9734589542534646, 0.9734619661278816, 0.9734644730827497, 0.9734665595720617, 0.9734682959807016, 0.9734697409518409, 0.9734709433340346, 0.9734719438087888, 0.973472776250068, 0.9734734688591973, 0.973474045111778, 0.9734745245474001, 0.9734749234280184, 0.9734752552866339, 0.9734755313844509, 0.9734757610916803, 0.9734759522046732, 0.9734761112099867, 0.9734762435042328, 0.97347635357708, 0.9734764451635826, 0.9734765213709455, 0.9734765847840201, 0.9734766375530965, 0.9734766814669429, 0.9734767180135804, 0.973476748430846, 0.9734767737484622, 0.9734767948230241, 0.9734768123671216, 0.9734768269735474, 0.9734768391354531, 0.9734768492630972, 0.9734768576977888]]","[[0.5696221788932055, 0.9576998304591221, 0.9671071554626889, 0.9712963484953635, 0.9733074233282162, 0.974240788366274, 0.9746503115831306, 0.9747805375131148, 0.974804529309215, 0.9748097510406242, 0.9748107563312582, 0.9748109752089071]]",4582.451777081089,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.98009520999122, 0.9807709178935468, 0.9813839784892716, 0.9819381029280807, 0.9824369446496157, 0.9828841137468549, 0.9832831850157444, 0.983637698878049, 0.983951154840395, 0.9842269977920383, 0.9844685981636585, 0.9846792276479215, 0.9848620326862054, 0.9850200081479908, 0.9851559735217539, 0.9852725535255148, 0.9853721644228746, 0.9854570066233729, 0.9855290634794898, 0.9855901056605717, 0.9856417001338276, 0.9856852226176394, 0.9857218723639287, 0.9857526882294438, 0.9857785651637512, 0.985800270434784, 0.9858184591020143, 0.9858336884153215, 0.9858464309558894, 0.9858570864423424, 0.9858659922031023, 0.9858734323689378, 0.9858796458728061, 0.9858848333623084, 0.9858891631373421, 0.9858927762254182, 0.9858957907021715, 0.9858983053567998, 0.9859004027928806, 0.9859021520453357, 0.9859036107846091, 0.9859048271700916, 0.9859058414064271, 0.9859066870487874, 0.9859070696048949, 0.9859076548740933, 0.98590814269435, 0.9859085492774878, 0.9859088881422193, 0.9859091705604064, 0.9859094059296912, 0.9859096020845661, 0.9859097655559632, 0.9859099017878669, 0.9859100153180036, 0.9859101099285523, 0.9859101887718422, 0.985910254475167, 0.9859103092281678, 0.9859103548557064, 0.9859103928785998, 0.9859104245642598, 0.9859104509688997, 0.9859104729727184, 0.9859104913092271, 0.9859105065896836, 0.9859105193234723, 0.9859105299350717, 0.9859105387782108]]","[[0.5696221788932055, 0.9770407722840672, 0.9823212590429339, 0.9846306016626202, 0.9857475658542305, 0.9862736278416132, 0.9865098861942417, 0.9866108316164138, 0.9866478882878305, 0.9866583743060928, 0.9866601477039398, 0.9866605652767237]]",5839.303672725303,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9909337197059789, 0.9912446896713165, 0.9915270220096553, 0.9917823993951534, 0.9920124780081007, 0.9922188942099663, 0.9924032684491075, 0.9925672060130839, 0.9927122944443709, 0.9928400977133947, 0.992952147562393, 0.9930499327431184, 0.9931348871113059, 0.9932083776604976, 0.993271693551276, 0.9933260370259476, 0.9933725168304993, 0.9934121444504702, 0.9934458331625171, 0.9934743996535866, 0.9934985677894342, 0.9935189740280104, 0.9935361739598552, 0.9935506494976472, 0.9935628163093612, 0.9935730311755185, 0.9935815990370623, 0.9935887795777782, 0.9935947932496458, 0.9935998266997492, 0.9936040375943728, 0.9936075588613518, 0.9936105023879568, 0.9936129622207235, 0.9936150173176012, 0.9936167339031985, 0.9936181674759617, 0.9936193645127966, 0.9936203639125505, 0.99362119821541, 0.993621894630923, 0.9936224759032288, 0.9936229610382418, 0.9936233659140954, 0.9936237037930912, 0.9936239857506748, 0.9936242210346553, 0.9936244173658203, 0.9936245811894007, 0.993624717885324, 0.9936248319439528, 0.9936249271129347, 0.9936250065198798, 0.9936250727748268, 0.9936251280558067, 0.9936251741802914, 0.9936252126648389, 0.9936252447748863, 0.9936252715663099, 0.9936252939201166, 0.9936253125713939, 0.9936253281334726, 0.993625341118087, 0.9936253519522038, 0.9936253609920584]]","[[0.5696221788932055, 0.9894677934349235, 0.9919407122755921, 0.9930106241297518, 0.9935302245036297, 0.9937771211484118, 0.9938892615223939, 0.9939378127363191, 0.9939575969010022, 0.9939649787453686, 0.9939674381222349, 0.9939679791058463]]",7440.878604078294,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9966572347645357, 0.996772487008021, 0.9968771640449532, 0.9969718843230795, 0.9970572565626212, 0.9971339139862256, 0.997202387923134, 0.9972633015431109, 0.9973172386624747, 0.9973647746835905, 0.997406473470956, 0.9974428834371973, 0.9974745331855563, 0.997501927102951, 0.9975255412921558, 0.9975458201745718, 0.9975631739992825, 0.9975779773794533, 0.9975905688647071, 0.9976012514647203, 0.9976102939745732, 0.9976179329184898, 0.9976243749218004, 0.9976297993343336, 0.9976343609542135, 0.9976381927323598, 0.9976414083696293, 0.9976441047472238, 0.9976463641550131, 0.997648256301262, 0.997649840101172, 0.9976511652513018, 0.9976522736031185, 0.9976532003524631, 0.9976539750633159, 0.9976546225444707, 0.9976551635970947, 0.9976556156499544, 0.9976559932976121, 0.9976563087553051, 0.997656572242629, 0.9976567923066162, 0.9976569760934035, 0.9976571295763963, 0.9976572577477096, 0.9976573647786638, 0.9976574541542443, 0.9976575287856847, 0.9976575911046857, 0.9976576431422381, 0.9976576865945375, 0.9976577228780932, 0.9976577531757912, 0.9976577784753885, 0.9976577996016747, 0.9976578172433437, 0.9976578319754387, 0.9976578442781006, 0.9976578545522243, 0.9976578631325375]]","[[0.5696221788932055, 0.9961016385123687, 0.9970268261229728, 0.9974249519685404, 0.997618674346499, 0.9977111447777169, 0.9977533898215623, 0.9977718056413813, 0.9977793710987873, 0.9977822199190718, 0.9977831778291234]]",9481.725476830623,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.999060121435253, 0.9990925956106467, 0.9991220946491282, 0.9991487921799176, 0.9991728591066733, 0.9991944643018378, 0.9992137750231361, 0.999230957011368, 0.9992461742482833, 0.9992595883809707, 0.999271357851623, 0.9992816368035753, 0.9992905738600708, 0.9992983108859536, 0.9993049818414237, 0.9993107118214264, 0.9993156163476911, 0.9993198009483919, 0.9993233610288011, 0.9993263820098953, 0.9993289396934653, 0.9993311008024879, 0.9993329236433914, 0.9993344588404396, 0.9993357500995974, 0.9993368349680003, 0.9993377455640315, 0.9993385092611002, 0.9993391493149884, 0.999339685429981, 0.9993401342629303, 0.9993405098671597, 0.9993408240798719, 0.9993410868577451, 0.9993413065658594, 0.999341490225177, 0.999341643723626, 0.9993417719955029, 0.9993418791735075, 0.9993419687172657, 0.9993420435217591, 0.9993421060086451, 0.9993421582030603, 0.9993422017981368, 0.9993422382091462, 0.9993422686188985, 0.9993422940157852, 0.9993423152256373, 0.9993423329383944, 0.9993423477304169, 0.9993423600831512, 0.9993423703987362, 0.9993423790130513]]","[[0.5696221788932055, 0.998902084469281, 0.99916381448181, 0.9992761939118723, 0.999330917425217, 0.9993570879050317, 0.999369072560128, 0.9993743117903543, 0.9993764713632297, 0.9993772876665751]]",12082.32559642938,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9998131718523082, 0.9998196313118642, 0.9998254992696565, 0.999830810223513, 0.9998355981300565, 0.9998398965427275, 0.9998437386947494, 0.9998471575188994, 0.9998501855998243, 0.9998528550601238, 0.9998551973878513, 0.9998572432194528, 0.9998590220972493, 0.9998605622233354, 0.9998618902315728, 0.9998630309963059, 0.9998640074911609, 0.999864840704943, 0.9998655496153533, 0.9998661512160034, 0.9998666605885154, 0.9998670910095494, 0.9998674540821525, 0.9998677598815312, 0.9998680171067638, 0.9998682332317026, 0.9998684146500842, 0.9998685668114722, 0.999868694346009, 0.9998688011770132, 0.9998688906212486, 0.9998689654772382, 0.9998690281023461, 0.9998690804795578, 0.9998691242749795, 0.9998691608870922, 0.9998691914887662, 0.9998692170629716, 0.9998692384330439, 0.9998692562882698, 0.9998692712054762, 0.999869283667211, 0.9998692940770366, 0.999869302772378]]","[[0.5696221788932055, 0.9997816435317501, 0.9998337696776562, 0.9998561359041346, 0.9998670297211224, 0.9998722425350552, 0.9998746315107678, 0.9998756768040744, 0.9998761081210554]]",15396.205276650651,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.999976146135687, 0.999976146135687]]","[[0.5696221788932055, 0.999972117501211, 0.999978775627674, 0.999978775627674]]",19618.999258786527,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.9999982680007972, 0.9999982680007972]]","[[0.5696221788932055, 0.9999979754532108, 0.9999979754532108]]",25000.0,1.5
